leg_id,sequence,start_date,end_date,start_location_id,start_location,start_latitude,start_longitude,end_location_id,end_location,end_latitude,end_longitude,source_status,date_confidence,route_confidence,include_default_map,source_id,source_locator,source_url,notes,duration_days,great_circle_nm,implied_avg_speed_kn,source_duration_days,source_great_circle_nm,source_implied_avg_speed_kn
L001,1,1943-10-02,1943-10-08,LOC001,Norfolk / Hampton Roads,36.946,-76.33,LOC002,Panama Canal,8.95,-79.5667,chart + official,high,high,TRUE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,6,1683.5696399742815,11.691455833154732,6,1690.1,11.7
L002,2,1943-10-10,1943-10-19,LOC002,Panama Canal,8.95,-79.5667,LOC003,San Francisco Bay,37.8199,-122.4783,chart + official,high,high,TRUE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,9,2891.3138806122843,13.385712410242057,9,2892.2,13.4
L003,3,1943-10-19,1943-10-25,LOC003,San Francisco Bay,37.8199,-122.4783,LOC006,Pearl Harbor,21.344,-157.975,chart + narrative,high,high,TRUE,S2,War Cruise p.7; Album p.4,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,6,2084.7538955599694,14.477457608055342,6,2083.1,14.5
L004,4,1943-11-02,1943-11-09,LOC006,Pearl Harbor,21.344,-157.975,LOC007,Funafuti,-8.5167,179.2,chart + official,high,high,TRUE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,7,2235.0785639491532,13.304039071125912,7,2241.6,13.3
L005,5,1943-11-28,1943-12-04,LOC007,Funafuti,-8.5167,179.2,LOC006,Pearl Harbor,21.344,-157.975,chart + official,high,high,TRUE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,6,2235.0785639491532,15.521378916313564,6,2241.6,15.6
L006,6,1943-12-09,1943-12-14,LOC006,Pearl Harbor,21.344,-157.975,LOC008,Tarawa,1.35,172.93,chart + narrative,high,high,TRUE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,5,2081.1389383929786,17.342824486608155,5,2082.9,17.4
L007,7,1943-12-25,1943-12-29,LOC008,Tarawa,1.35,172.93,LOC009,Espiritu Santo,-15.5167,167.1833,chart + narrative,high,high,TRUE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,4,1063.5754135322143,11.078910557627232,4,1068.6,11.1
L008,8,1944-01-08,1944-01-13,LOC009,Espiritu Santo,-15.5167,167.1833,LOC010,Guadalcanal,-9.433,159.95,chart + narrative,high,high,TRUE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,5,558.6806239726568,4.655671866438807,5,559.5,4.7
L009,9,1944-01-15,1944-01-18,LOC010,Guadalcanal,-9.433,159.95,LOC011,Makin,3.167,172.833,chart + official,high,high,TRUE,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,,3,1077.7080117374953,14.968166829687435,3,1080,15
L010,10,1944-01-28,1944-01-29,LOC011,Makin,3.167,172.833,LOC008,Tarawa,1.35,172.93,"official, arrival estimated",medium,medium,TRUE,S1,DANFS late Jan 1944,https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,Brief Tarawa stop is omitted from Blakeslee's leg table.,1,108.64267926149225,4.526778302562177,1,109.2,4.6
