sequence,date_start,date_end,date_precision,location_id,location_name,latitude,longitude,position_type,coordinate_basis,position_uncertainty_nm,movement_state,event_category,event_action,historical_confidence,include_default_map,source_id,source_locator,source_url,notes
1,1943-10-02,1943-10-02,day,LOC001,Norfolk / Hampton Roads,36.946,-76.33,point,Harbor-area modeling point,10,depart,Transit,Departed Norfolk/Yorktown area for the Canal Zone and Pacific ports with Task Unit 29.2.5.,high,True,S1,"DANFS, para. beginning 'Late in September'; War Cruise p.7",https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,
2,1943-10-08,1943-10-10,range,LOC002,Panama Canal,8.95,-79.5667,interval_at_location,Canal transit modeling point,15,transit/stop,Transit,Passed through the Panama Canal; exact anchorage and lock timing not reconstructed.,medium,True,S2,War Cruise p.7,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,
3,1943-10-19,1943-10-19,day,LOC003,San Francisco Bay,37.8199,-122.4783,point,Golden Gate transit point,10,arrive,Port call,Passed under the Golden Gate Bridge and anchored in San Francisco Bay.,high,True,S1,"DANFS, 19 Oct 1943",https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,
4,1943-10-25,1943-11-02,range,LOC006,Pearl Harbor,21.344,-157.975,interval_at_location,Harbor centroid,5,in port,Logistics,"Arrived Pearl Harbor, embarked mines and received routing for Funafuti.",high,True,S2,War Cruise p.7; Album p.4,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,
5,1943-11-09,1943-11-28,range,LOC007,Funafuti,-8.5167,179.2,interval_at_location,Atoll/anchorage centroid,12,anchored/operating,Mine warfare support,"Supported survey and mining of Funafuti approaches; supplied water, provisions, repairs, and medical services; laid mooring buoys.",high,True,S1,"DANFS, 9–28 Nov 1943",https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,
6,1943-11-17,1943-11-17,day,LOC007,Funafuti,-8.5167,179.2,point,Atoll/anchorage centroid,12,anchored/combat,Air attack,Gunners fired on enemy aircraft for the first time during a Japanese raid on the Funafuti runway.,high,True,S1,"DANFS, 17 Nov 1943",https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,
7,1943-12-04,1943-12-09,range,LOC006,Pearl Harbor,21.344,-157.975,interval_at_location,Harbor centroid,5,in port,Logistics,Loaded mines and gear for Tarawa.,high,True,S2,War Cruise p.7; narrative p.17–18,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,
8,1943-12-14,1943-12-25,range,LOC008,Tarawa,1.35,172.93,interval_at_location,Atoll operational centroid,15,anchored/operating,Mine warfare support,Provided heavy equipment and mines to mine details at Tarawa amid recurring Japanese air activity.,high,True,S1,"DANFS, Dec 1943; War Cruise p.7",https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,
9,1943-12-29,1944-01-08,range,LOC009,Espiritu Santo,-15.5167,167.1833,interval_at_location,Harbor centroid,10,in port/operating,Logistics,Delivered mines and heavy equipment; New Year's Day 1944 was spent at Espiritu Santo.,high,True,S2,War Cruise p.7; Album p.4,https://terror.ringleib.com/wp-content/uploads/2021/03/Ryan-BookUSSTerror-1.pdf,
10,1944-01-13,1944-01-15,range,LOC010,Guadalcanal,-9.433,159.95,interval_at_location,Coastal operational centroid,15,in port/operating,Logistics,Delivered advance-base mine equipment at Guadalcanal.,high,True,S1,"DANFS, Jan 1944",https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,
11,1944-01-18,1944-01-28,range,LOC011,Makin,3.167,172.833,interval_at_location,Lagoon centroid,12,anchored/operating,Mine warfare,Surveyed lagoon passes and prepared a self-propelled barge to mine channels.,high,True,S1,"DANFS, 18–28 Jan 1944",https://www.history.navy.mil/research/histories/ship-histories/danfs/t/terror-iii.html,
